"filename", "language", "SCSS", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/Error404Screen.js", "JavaScript", 0, 13, 0, 0, 0, 0, 4, 17
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/HistoricalScreen.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/LoadingScreen.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/LoginScreen.js", "JavaScript", 0, 57, 0, 0, 0, 0, 21, 78
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/NewOrderScreen.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/OrderScreen.js", "JavaScript", 0, 32, 0, 0, 0, 0, 18, 50
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/StatisticsScreen.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/WarehouseScreen.js", "JavaScript", 0, 85, 0, 0, 0, 7, 25, 117
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/authReducer.js", "JavaScript", 0, 40, 0, 0, 0, 0, 10, 50
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/calendarReducer.js", "JavaScript", 0, 63, 0, 0, 0, 0, 14, 77
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/crewReducer.js", "JavaScript", 0, 162, 0, 0, 0, 0, 21, 183
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/factoryReducer.js", "JavaScript", 0, 69, 0, 0, 0, 0, 16, 85
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/navReducer.js", "JavaScript", 0, 15, 0, 0, 0, 0, 7, 22
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/rootReducer.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/uiReducer.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/reducers/warehouseReducer.js", "JavaScript", 0, 43, 0, 0, 0, 0, 12, 55
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/router/AppRouter.js", "JavaScript", 0, 34, 0, 0, 0, 0, 8, 42
